"Name","Category","Location","Phone Number"
"Св. Наум Охридски - Чудотворец","place_of_worship","","Lisec"
"Св. Атанасиј","place_of_worship","","Tetovo"
"Св. Атанасиј Велики","place_of_worship","","Orizari"
"Манастир Св. Ѓорѓија","place_of_worship","","Kuchkovo"
"Sv. Mala Bogorodica","place_of_worship","","Kuchkovo"
"Manastir Sv. Spas","place_of_worship","","Kavadarci"
"Манастир Св. Архангел Михаил","place_of_worship","",""
"Црква Рождество на Пресв. Богородица","place_of_worship","",""
"Sv. Dimitrija","place_of_worship","","Vrben"
"Св. Богородица","place_of_worship","",""
"Св. Архангел Гаврил","place_of_worship","","Skopje"
"Св.Петка","place_of_worship","",""
"Кокино","place_of_worship","","Kokino"
"Св.Тројца","place_of_worship","",""
"Св. Недела","place_of_worship","","Obleshevo"
"Џамија Хаџи-Дургут","place_of_worship","","Ohrid"
"Св. Архангел Михаил","place_of_worship","",""
